Usuario,Artista 1,Artista 2,Artista 3,Artista 4,Artista 5,Artista 6,Artista 7,Artista 8,Artista 9,Artista 10,Artista 11,Artista 12,Artista 13,Artista 14,Artista 15,Artista 16,Artista 17,Artista 18,Artista 19,Artista 20,Artista 21,Artista 22,Artista 23,Artista 24,Artista 25,Artista 26,Artista 27,Artista 28,Artista 29,Artista 30
nightshift805,Kendrick Lamar,The Weeknd,Future,Kali Uchis,Kanye West,Playboi Carti,Brent Faiyaz,Drake,Baby Keem,J. Cole,"Tyler, the Creator",ScHoolboy Q,Travi$ Scott,Lil Uzi Vert,Dr. Dre,Tame Impala,Steve Lacy,XXXTENTACION,The Game,Ken Carson,2Pac,SZA,Jay Rock,Destroy Lonely,Snoop Dogg,Childish Gambino,Frank Ocean,Sonder,Homixide Gang,A$AP Rocky
strvnndxd,Kendrick Lamar,Jaydes,Cochise,jaydes archive,Logic,SoFaygo,XXXTENTACION,Sadbabygothgoon,Aaron May,Subiibabii,Autumn!,loninstonin,6cd,Jay Rock,J. Cole,Nujabes,kkei3,yen core,Kid Cudi,Mike Will Made-It,ScHoolboy Q,evvls,Playboi Carti,TV Girl,Travi$ Scott,Baby Keem,Isaiah Rashad,The Weeknd,Yaphomet Archive,The Game
darkkr,Kendrick Lamar,Kanye West,"Tyler, the Creator",Baby Keem,Siinamota,Brent Faiyaz,Creepy Nuts,Lil Uzi Vert,2Pac,十五少女,Travi$ Scott,September,Kirk Franklin,結束バンド,Future,U_M_A_A Inc.,C418,Frank Ocean,KENTENSHI,MF DOOM,Metro Boomin,Eve,Tatsuya Kitani,YOASOBI,Vicke Blanka,Drake,King Gnu,sped up 8282,ZUTOMAYO,米津玄師
omarthesayed,Kendrick Lamar,Frank Ocean,Kanye West,Brent Faiyaz,Slauson Malone,Mac DeMarco,JID,SLAUSON MALONE 1,sign crushes motorist,Thelonious Monk,Little Simz,Jack Stauber's Micropop,Have a Nice Life,Travi$ Scott,Steve Lacy,Mount Eerie,Drake,"Tyler, the Creator",Earl Sweatshirt,Idris Muhammad,Baby Keem,Playboi Carti,MF DOOM,Solange,Mary J. Blige,Rejjie Snow,Westside Gunn,21 Savage,A Tribe Called Quest,Daniel Caesar
Call_me_Aki,Kendrick Lamar,"Tyler, the Creator",Joji,Baby Keem,Kanye West,The Weeknd,Laufey,Radiohead,Mac Miller,Metro Boomin,TV Girl,Arctic Monkeys,21 Savage,Gustavo Cerati,Isaiah Rashad,Travi$ Scott,Kali Uchis,Childish Gambino,JID,MF DOOM,Future,The Strokes,Steve Lacy,久石譲,Mac DeMarco,Cuco,A$AP Rocky,Joey Bada$$,Playboi Carti,Soda Stereo
BlueLegendDrag,Kendrick Lamar,Yeat,"Tyler, the Creator",TV Girl,Steve Lacy,Billie Calvinn,Odetari,Baby Keem,Kanye West,Future,Kali Uchis,Nujabes,Travi$ Scott,Playboi Carti,MF DOOM,Tame Impala,Beyoncé,The Weeknd,SZA,Kyra,Madvillain,Jay Rock,J. Cole,Jordana,The Internet,BXNJI,ScHoolboy Q,Isaiah Rashad,jnhygs,kanii
LilTerry_,Kendrick Lamar,Frank Ocean,BROCKHAMPTON,Kali Uchis,Aphex Twin,Baby Keem,JPEGMAFIA,Kanye West,Bruno Mars,Isaiah Rashad,The Weeknd,Moses Sumney,Dominic Fike,Childish Gambino,"Tyler, the Creator",Bazzi,Ichiko Aoba,Doja Cat,Rich Brian,Tory Lanez,Radiohead,Mac Miller,Lloyd Vaan,Travi$ Scott,Drake,Mac DeMarco,Alvedon,Aminé,Instupendo,Danny Brown
vKatrit,Kendrick Lamar,Tame Impala,Travi$ Scott,Madvillain,Dr. Dre,Jay Rock,Kanye West,Scotts,Yeat,Drake,Pharrell Williams,21 Savage,Lil Uzi Vert,Justin Timberlake,FredsVoice ASMR,Childish Gambino,Nas,Ludwig Göransson,September,Viktor Vaughn,ScHoolboy Q,Modjo,Joey Valence & Brae,Favored Nations,Wu-Tang Clan,The Notorious B.I.G.,"Tyler, the Creator",The Beach Boys,J. Cole,Imagine Dragons
Jathnyel,Kendrick Lamar,Paramore,Taylor Swift,Daft Punk,Kanye West,Lauryn Hill,Olivia Rodrigo,Travi$ Scott,"Kendrick Lamar, Blxst & Amanda Reifer",Rauw Alejandro,"Kendrick Lamar, Summer Walker & Ghostface Killah",Kendrick Lamar & Tanna Leone,"Kendrick Lamar, Baby Keem & Sam Dew",Kali Uchis,Sabrina Carpenter,Kendrick Lamar & Taylour Paige,Kendrick Lamar & Kodak Black,JAY-Z,"Tyler, the Creator",J. Cole,Alicia Keys,Beyoncé,Drake,The Weeknd,Bad Bunny,Cafuné,Steve Lacy,Reneé Rapp,Frank Ocean,girl in red
alexprogamer,Kendrick Lamar,Childish Gambino,The Weeknd,Brent Faiyaz,Travi$ Scott,Lana Del Rey,Park So Eun,Kanye West,Don Toliver,Drake,Frank Ocean,Chase Atlantic,Rihanna,Bryson Tiller,PARTYNEXTDOOR,Metro Boomin,SZA,The Neighbourhood,Deftones,Loathe,Future,J. Cole,BROCKHAMPTON,Summer Walker,Zach Templar,Ariana Grande,A$AP Ferg,GoldLink,Paperboy Fabe,¥$
